Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoveries,New Recoveries
3/8/2020,3,3,0,0,0,0
3/9/2020,3,0,0,0,0,0
3/10/2020,3,0,0,0,0,0
3/11/2020,3,0,0,0,0,0
3/12/2020,3,0,0,0,0,0
3/13/2020,3,0,0,0,0,0
3/14/2020,3,0,0,0,0,0
3/15/2020,5,2,0,0,0,0
3/16/2020,8,3,0,0,2,2
3/17/2020,10,2,0,0,3,1
3/18/2020,14,4,1,1,3,0
3/19/2020,17,3,1,0,3,0
3/20/2020,20,3,1,0,3,0
3/21/2020,25,5,2,1,3,0
3/22/2020,27,2,2,0,3,0
3/23/2020,33,6,3,1,5,2
3/24/2020,39,6,4,1,5,0
3/25/2020,39,0,5,1,7,2
3/26/2020,44,5,5,0,11,4
3/27/2020,48,4,5,0,11,0
3/28/2020,48,0,5,0,15,4
3/29/2020,48,0,5,0,15,0
3/30/2020,49,1,5,0,19,4
3/31/2020,51,2,5,0,25,6
4/1/2020,54,3,6,1,25,0
4/2/2020,56,2,6,0,25,0
4/3/2020,61,5,6,0,26,1
4/4/2020,70,9,8,2,30,4
4/5/2020,88,18,9,1,33,3
4/6/2020,123,35,12,3,33,0
4/7/2020,164,41,17,5,33,0
4/8/2020,218,54,20,3,33,0
4/9/2020,330,112,21,1,33,0
4/10/2020,424,94,27,6,33,0
4/11/2020,482,58,30,3,36,3
4/12/2020,621,139,34,4,39,3
4/13/2020,803,182,39,5,42,3
4/14/2020,1012,209,46,7,42,0
4/15/2020,1231,219,50,4,49,7
4/16/2020,1572,341,60,10,49,0
4/17/2020,1838,266,75,15,58,9
4/18/2020,2144,306,84,9,66,8
4/19/2020,2456,312,91,7,75,9
4/20/2020,2948,492,101,10,85,10
4/21/2020,3382,434,110,9,87,2
4/22/2020,3772,390,120,10,92,5
4/23/2020,4186,414,127,7,108,16
4/24/2020,4689,503,131,4,112,4
4/25/2020,4998,309,140,9,113,1
4/26/2020,5416,418,145,5,122,9
4/27/2020,5913,497,152,7,131,9
4/28/2020,6462,549,155,3,139,8
4/29/2020,7103,641,163,8,150,11
4/30/2020,7667,564,168,5,160,10
5/1/2020,8238,571,170,2,174,14
5/2/2020,8790,552,175,5,177,3
5/3/2020,9455,665,177,2,1063,886
5/4/2020,10143,688,182,5,1209,146
5/5/2020,10929,786,183,1,1403,194
5/6/2020,11719,790,186,3,1403,0
5/7/2020,12425,706,199,13,1910,507
5/8/2020,13134,709,206,7,2101,191
5/9/2020,13770,636,214,8,2414,313
5/10/2020,14657,887,228,14,2650,236
5/11/2020,15691,1034,239,11,2902,252
5/12/2020,16660,969,250,11,3147,245
5/13/2020,17822,1162,269,19,3361,214
5/14/2020,18863,1041,283,14,3361,0
5/15/2020,20065,1202,298,15,3882,521
5/16/2020,20995,930,314,16,4117,235
5/17/2020,22268,1273,328,14,4373,256
5/18/2020,23870,1602,349,21,4585,212
5/19/2020,25121,1251,370,21,4993,408
5/20/2020,26738,1617,386,16,5207,214
5/21/2020,28511,1773,408,22,5602,395
5/22/2020,30205,1694,432,24,6190,588
5/23/2020,32078,1873,452,20,6486,296
5/24/2020,33610,1532,480,28,6901,415
5/25/2020,35585,1975,501,21,7334,433
5/26/2020,36751,1166,522,21,7579,245
5/27/2020,38292,1541,544,22,7925,346
5/28/2020,40321,2029,559,15,8425,500
5/29/2020,42844,2523,582,23,9015,590
5/30/2020,44608,1764,610,28,9375,360
5/31/2020,47153,2545,650,40,9781,406
6/1/2020,49534,2381,672,22,10597,816
6/2/2020,52445,2911,709,37,11120,523
6/3/2020,55140,2695,746,37,11590,470
6/4/2020,57563,2423,781,35,12161,571
6/5/2020,60391,2828,811,30,12804,643
6/6/2020,63026,2635,846,35,13325,521
6/7/2020,65769,2743,888,42,13903,578
6/8/2020,68504,2735,930,42,14560,657
6/9/2020,71675,3171,975,45,15337,777
6/10/2020,74865,3190,1012,37,15900,563
6/11/2020,78052,3187,1049,37,16747,847
6/12/2020,81523,3471,1095,46,17249,502
6/13/2020,84379,2856,1139,44,17828,579
6/14/2020,87520,3141,1171,32,18730,902
6/15/2020,90619,3099,1209,38,18731,1
6/16/2020,94481,3862,1262,53,36264,17533
6/17/2020,98489,4008,1305,43,38189,1925
6/18/2020,102292,3803,1343,38,40164,1975
6/19/2020,105535,3243,1388,45,42945,2781
6/20/2020,108775,3240,1425,37,43993,1048
6/21/2020,112306,3531,1464,39,45077,1084
6/22/2020,115786,3480,1502,38,46755,1678
6/23/2020,119198,3412,1545,43,47635,880
6/24/2020,122660,3462,1582,37,49666,2031
6/25/2020,126606,3946,1621,39,51495,1829
6/26/2020,130474,3868,1661,40,53133,1638
6/27/2020,133978,3504,1695,34,54318,1185
6/28/2020,137787,3809,1738,43,55727,1409
6/29/2020,141801,4014,1783,45,57780,2053
6/30/2020,145483,3682,1847,64,59624,1844
7/1/2020,149258,3775,1888,41,62108,2484
7/2/2020,153277,4019,1926,38,66442,4334
7/3/2020,156391,3114,1968,42,68048,1606
7/4/2020,159679,3288,1997,29,70721,2673
7/5/2020,162417,2738,2052,55,72625,1904
7/6/2020,165618,3201,2096,44,76149,3524
7/7/2020,168645,3027,2151,55,78102,1953
7/8/2020,172134,3489,2197,46,80838,2736
7/9/2020,175494,3360,2238,41,84544,3706
7/10/2020,178443,2949,2275,37,86406,1862
7/11/2020,181129,2686,2305,30,88034,1628
7/12/2020,183795,2666,2352,47,93614,5580
7/13/2020,186894,3099,2391,39,98317,4703
7/14/2020,190057,3163,2424,33,103227,4910
7/15/2020,193590,3533,2457,33,105523,2296
7/16/2020,196323,2733,2496,39,106963,1440
7/17/2020,199357,3034,2547,51,108725,1762
7/18/2020,202066,2709,2581,34,110098,1373
7/19/2020,204525,2459,2618,37,111642,1544
7/20/2020,207453,2928,2668,50,113556,1914
7/21/2020,210510,3057,2709,41,115397,1841
7/22/2020,213254,2744,2751,42,117202,1805
7/23/2020,216110,2856,2801,50,119208,2006
7/24/2020,218658,2548,2836,35,120976,1768
7/25/2020,221178,2520,2874,38,122090,1114
7/26/2020,223453,2275,2928,54,123882,1792
7/27/2020,226225,2772,2965,37,125683,1801
7/28/2020,229185,2960,3000,35,127414,1731
7/29/2020,232194,3009,3035,35,130292,2878
7/30/2020,234889,2695,3083,48,132960,2668
7/31/2020,237661,2772,3111,28,135136,2176
8/1/2020,239860,2199,3132,21,136253,1117
8/2/2020,240746,886,3154,22,136839,586
8/3/2020,242102,1356,3184,30,137905,1066
8/4/2020,244020,1918,3234,50,139860,1955
8/5/2020,246674,2654,3267,33,141750,1890
8/6/2020,249651,2977,3306,39,143824,2074
8/7/2020,252502,2851,3333,27,145584,1760
8/8/2020,255113,2611,3365,32,146604,1020
8/9/2020,257600,2487,3399,34,148370,1766
8/10/2020,260507,2907,3438,39,150437,2067
8/11/2020,263503,2996,3471,33,151972,1535
8/12/2020,266498,2995,3513,42,153089,1117
8/13/2020,269115,2617,3557,44,154871,1782
8/14/2020,271881,2766,3591,34,156623,1752
8/15/2020,274525,2644,3625,34,157635,1012
8/16/2020,276549,2024,3657,32,158950,1315
8/17/2020,279144,2595,3694,37,160591,1641
8/18/2020,282344,3200,3740,46,162825,2234
8/19/2020,285091,2747,3781,41,165738,2913
8/20/2020,287959,2868,3822,41,168991,3253
8/21/2020,290360,2401,3861,39,172615,3624
8/22/2020,292625,2265,3907,46,175567,2952
8/23/2020,294598,1973,3941,34,179091,3524
8/24/2020,297083,2485,3983,42,182875,3784
8/25/2020,299628,2545,4028,45,186756,3881
8/26/2020,302147,2519,4082,54,190183,3427
8/27/2020,304583,2436,4127,45,193458,3275
8/28/2020,306794,2211,4174,47,196836,3378
8/29/2020,308925,2131,4206,32,198863,2027
8/30/2020,310822,1897,4248,42,201907,3044
8/31/2020,312996,2174,4281,33,204887,2980
9/1/2020,314946,1950,4316,35,208177,3290
9/2/2020,317528,2582,4351,35,211016,2839
9/3/2020,319686,2158,4383,32,213980,2964
9/4/2020,321615,1929,4412,29,216191,2211
9/5/2020,323565,1950,4447,35,217852,1661
9/6/2020,325157,1592,4449,2,221275,3423
9/7/2020,327359,2202,4516,67,224573,3298
9/8/2020,329251,1892,4552,36,227809,3236
9/9/2020,331078,1827,4593,41,230804,2995
9/10/2020,332970,1892,4634,41,233550,2746
9/11/2020,334762,1792,4668,34,236024,2474
9/12/2020,336044,1282,4702,34,238171,2147
9/13/2020,337520,1476,4733,31,240543,2372
9/14/2020,339332,1812,4759,26,243055,2512
9/15/2020,341056,1724,4802,43,245494,2439
9/16/2020,342671,1615,4823,21,247869,2375
9/17/2020,344264,1593,4859,36,250312,2443
9/18/2020,345805,1541,4881,22,252235,1923
9/19/2020,347372,1567,4913,32,254286,2051
9/20/2020,348916,1544,4939,26,256465,2179
9/21/2020,350621,1705,4979,40,258617,2152
9/22/2020,352178,1557,5007,28,260690,2073
9/23/2020,353844,1666,5044,37,262853,2163
9/24/2020,355384,1540,5072,28,264992,2139
9/25/2020,356767,1383,5093,21,266924,1932
9/26/2020,357873,1106,5129,36,268677,1753
9/27/2020,359148,1275,5161,32,270391,1714
9/28/2020,360555,1407,5193,32,271973,1582
9/29/2020,362043,1488,5219,26,273598,1625
9/30/2020,363479,1436,5251,32,275487,1789
10/1/2020,364987,1508,5272,21,277078,1591
10/2/2020,366383,1396,5305,33,278627,1549
10/3/2020,367565,1182,5325,20,280069,1442
10/4/2020,368690,1125,5348,23,281656,1587
10/5/2020,370132,1442,5375,27,283182,1526
10/6/2020,371631,1499,5405,30,284833,1651
10/7/2020,373151,1520,5440,35,286631,1798
10/8/2020,374592,1441,5460,20,288316,1685
10/9/2020,375870,1278,5477,17,289912,1596
10/10/2020,377073,1203,5500,23,291365,1453
10/11/2020,378266,1193,5524,24,292860,1495
10/12/2020,379738,1472,5555,31,294391,1531
10/13/2020,381275,1537,5577,22,295873,1482
10/14/2020,382959,1684,5593,16,297449,1576
10/15/2020,384559,1600,5608,15,299229,1780
10/16/2020,386086,1527,5623,15,300738,1509
10/17/2020,387295,1209,5646,23,302298,1560
10/18/2020,388569,1274,5660,14,303972,1674
10/19/2020,390206,1637,5681,21,305599,1627
10/20/2020,391589,1383,5699,18,307141,1542
10/21/2020,393131,1542,5723,24,308845,1704
10/22/2020,394827,1696,5747,24,310532,1687
10/23/2020,396413,1586,5761,14,312065,1533
10/24/2020,397507,1094,5780,19,313563,1498
10/25/2020,398815,1308,5803,23,315107,1544
10/26/2020,400251,1436,5818,15,316600,1493
10/27/2020,401586,1335,5838,20,318123,1523
10/28/2020,403079,1493,5861,23,319733,1610
10/29/2020,404760,1681,5886,25,321281,1548
10/30/2020,406364,1604,5905,19,322703,1422
10/31/2020,407684,1320,5923,18,324145,1442
11/1/2020,409252,1568,5941,18,325940,1795
11/2/2020,410988,1736,5966,25,327901,1961
11/3/2020,412647,1659,5983,17,329787,1886
11/4/2020,414164,1517,6004,21,331697,1910
11/5/2020,416006,1842,6021,17,333588,1891
11/6/2020,417475,1469,6036,15,335027,1439
11/7/2020,418764,1289,6049,13,336568,1541
11/8/2020,420238,1474,6067,18,338145,1577
11/9/2020,421921,1683,6092,25,339768,1623
11/10/2020,423620,1699,6108,16,341416,1648
11/11/2020,425353,1733,6127,19,343131,1715
11/12/2020,427198,1845,6140,13,344868,1737
